meanImp,medianImp,minImp,maxImp,normHits,decision,feature
5.748467861892077,5.885390862571185,3.44596104987251,7.584403887349712,0.9887640449438202,Confirmed,n_utterances
3.886311323959685,3.8075735739193775,1.7881118744111395,6.415938185345443,0.7752808988764045,Confirmed,median_duration
7.0615362421195575,7.102151630712997,3.8760947281959943,9.249292270279724,1,Confirmed,mean_duration
2.0015619517327456,2.0425082237819012,0.2711565683446558,4.24637980093822,0.0898876404494382,Rejected,min_duration
6.493699597256503,6.566827033889731,4.755952196202177,8.779458395344003,1,Confirmed,max_duration
7.105965861725861,7.144346194862524,4.942372364110312,9.763654420840682,1,Confirmed,sd_duration
3.3165448487684825,3.338141751412399,0.5314567020397568,5.446834186093216,0.6853932584269663,Confirmed,iqr_duration
11.493138509668409,11.570900670405942,9.35021845352709,13.678578080347066,1,Confirmed,nbr.null
12.575243102742132,12.553791395474995,10.387526918504934,14.403374320251167,1,Confirmed,max
12.749189449233748,12.676401615295939,10.844470589641496,15.016015650014648,1,Confirmed,range
15.632193086519028,15.626516779558703,14.106970470283839,17.619570047190177,1,Confirmed,sum
14.223971340853403,14.288617626292105,11.622068340202798,16.483812367122393,1,Confirmed,median
12.139833222896298,12.176335171611466,10.384770215894441,14.506784617686463,1,Confirmed,var
12.174805804255051,12.075382935085141,10.133063258656069,14.051728418879936,1,Confirmed,sd
13.615377584662987,13.651067551497615,11.746798068497398,15.381529814636366,1,Confirmed,iqr
12.440650565783228,12.360202914333733,10.408812589132943,15.082685314166172,1,Confirmed,X25.
12.302741645319708,12.365475214643334,10.135733975557752,14.489675464467293,1,Confirmed,mad
8.970359297830116,9.005355172857332,6.798849490564914,10.73952205241823,1,Confirmed,DET
8.357384765022601,8.3300500400455455,5.627551258596424,10.49049173328524,1,Confirmed,NRLINE
6.919929331963233,6.94033333484718,4.2421563841955,9.414227102065214,1,Confirmed,L
6.446396878758689,6.5048784274297144,4.165798294828494,9.199051648515926,1,Confirmed,ENTR
4.563212686794588,4.792403645045848,1.302602281221567,6.72291324030549,0.898876404494382,Confirmed,rENTR
8.814237761193892,8.779583082850467,6.137552115603438,11.287794059128986,1,Confirmed,LAM
7.0559819004094075,7.0811513577635585,4.990412044236839,9.673320144066953,1,Confirmed,TT
